erafishery,YEAR,total_kept,legal_releases,sublegal_releases
CBC S,2005,9017,302,0
CBC S,2006,9400,413,15
CBC S,2007,6130,0,118
CBC S,2008,2909,46,561
CBC S,2009,3239,0,0
CBC S,2010,4043,0,0
CBC S,2011,7701,423,75
CBC S,2012,5861,0,0
CBC S,2013,4457,0,0
CBC S,2014,7800,0,0
CBC S,2015,10597,0,0
CBC S,2016,5769,60,0
CBC S,2017,6679,0,0
CBC S,2018,7704,41,55
CBC S,2019,10750,153,0
CBC S,2020,1387,355,0
CBC S,2021,2339,0,0
CBC S,2022,6181,0,0
CBC S,2023,7573,0,0
GEO ST S,2005,11972,1077,9025
GEO ST S,2006,12181,495,4234
GEO ST S,2007,14561,1823,23773
GEO ST S,2008,8836,377,8395
GEO ST S,2009,17884,3940,17704
GEO ST S,2010,14942,1538,12167
GEO ST S,2011,21651,2072,18255
GEO ST S,2012,28194,2632,57322
GEO ST S,2013,45769,4482,102173
GEO ST S,2014,51661,23002,36449
GEO ST S,2015,76684,8102,39223
GEO ST S,2016,50713,5275,82894
GEO ST S,2017,68234,8109,100308
GEO ST S,2018,76159,18431,76245
GEO ST S,2019,53201,65878,99507
GEO ST S,2020,37075,34593,113654
GEO ST S,2021,54467,61476,175186
GEO ST S,2022,70929,57054,178421
GEO ST S,2023,62831,54331,117388
JNST S,2005,16076,3606,5916
JNST S,2006,10532,365,4161
JNST S,2007,9882,1774,4041
JNST S,2008,4436,829,3156
JNST S,2009,11501,1432,14552
JNST S,2010,10016,1158,7934
JNST S,2011,11934,1952,3217
JNST S,2012,8512,1556,6938
JNST S,2013,8894,1860,5695
JNST S,2014,10093,1290,6302
JNST S,2015,13475,3000,7694
JNST S,2016,9261,1058,6963
JNST S,2017,14053,978,15006
JNST S,2018,14045,2369,13065
JNST S,2019,11226,4312,10936
JNST S,2020,6589,2409,8348
JNST S,2021,8548,1572,10899
JNST S,2022,4607,1997,6943
JNST S,2023,9315,4955,6015
BC JF S,2005,30480,6908,4949
BC JF S,2006,26437,2665,2414
BC JF S,2007,26549,4569,7263
BC JF S,2008,22263,1460,5080
BC JF S,2009,25587,3736,40433
BC JF S,2010,15612,2089,2779
BC JF S,2011,21075,3648,9230
BC JF S,2012,24510,6354,15082
BC JF S,2013,34725,10546,19459
BC JF S,2014,21704,6102,12900
BC JF S,2015,47051,12723,29604
BC JF S,2016,30852,13739,34656
BC JF S,2017,37608,10795,35806
BC JF S,2018,37624,10249,49599
BC JF S,2019,27096,24942,21916
BC JF S,2020,16913,13056,25963
BC JF S,2021,19978,13477,37226
BC JF S,2022,23872,22506,64071
BC JF S,2023,29561,26788,53763
NBC ISBM S,2005,8000,0,0
NBC ISBM S,2006,8000,0,0
NBC ISBM S,2007,8000,0,0
NBC ISBM S,2008,11970,1463,180
NBC ISBM S,2009,9177,1703,0
NBC ISBM S,2010,7570,386,177
NBC ISBM S,2011,14677,500,1746
NBC ISBM S,2012,7017,0,0
NBC ISBM S,2013,10259,331,229
NBC ISBM S,2014,11973,1192,3500
NBC ISBM S,2015,12760,0,0
NBC ISBM S,2016,10043,2190,0
NBC ISBM S,2017,10108,5308,0
NBC ISBM S,2018,5821,5980,0
NBC ISBM S,2019,15152,11129,0
NBC ISBM S,2020,8247,5642,0
NBC ISBM S,2021,7383,9642,0
NBC ISBM S,2022,10012,4432,0
NBC ISBM S,2023,6443,8812,0
NBC AABM S,2005,68800,61283,0
NBC AABM S,2006,64500,32582,0
NBC AABM S,2007,61000,35688,0
NBC AABM S,2008,43500,10691,0
NBC AABM S,2009,34000,17531,0
NBC AABM S,2010,46400,32117,0
NBC AABM S,2011,48000,46453,0
NBC AABM S,2012,40050,22235,0
NBC AABM S,2013,46650,47931,0
NBC AABM S,2014,44900,36920,0
NBC AABM S,2015,52200,72749,0
NBC AABM S,2016,42800,29711,0
NBC AABM S,2017,45600,28724,0
NBC AABM S,2018,36700,40079,0
NBC AABM S,2019,45200,24651,0
NBC AABM S,2020,6087,0,0
NBC AABM S,2021,26517,9515,0
NBC AABM S,2022,25674,16187,0
NBC AABM S,2023,26477,39965,0
WCVI AABM S,2005,50681,19323,4571
WCVI AABM S,2006,36507,11882,6048
WCVI AABM S,2007,46323,5973,15590
WCVI AABM S,2008,50556,14483,8068
WCVI AABM S,2009,66426,16520,27863
WCVI AABM S,2010,54924,35879,9873
WCVI AABM S,2011,75209,23285,14328
WCVI AABM S,2012,66156,34483,19052
WCVI AABM S,2013,67345,34914,18344
WCVI AABM S,2014,59206,27925,18971
WCVI AABM S,2015,50452,20778,9194
WCVI AABM S,2016,42615,7664,14937
WCVI AABM S,2017,57060,16497,18436
WCVI AABM S,2018,49265,14822,45391
WCVI AABM S,2019,36770,12932,27660
WCVI AABM S,2020,20388,8766,16207
WCVI AABM S,2021,27517,10980,48232
WCVI AABM S,2022,37302,17968,43961
WCVI AABM S,2023,33594,8655,24528
WCVI ISBM S,2005,43577,5339,4195
WCVI ISBM S,2006,44025,4624,5014
WCVI ISBM S,2007,39368,4306,7754
WCVI ISBM S,2008,24855,1720,7194
WCVI ISBM S,2009,31921,6504,10137
WCVI ISBM S,2010,24687,7936,4785
WCVI ISBM S,2011,52131,6081,9458
WCVI ISBM S,2012,26693,7278,10277
WCVI ISBM S,2013,23152,8991,10974
WCVI ISBM S,2014,28756,8590,10593
WCVI ISBM S,2015,34838,11013,6112
WCVI ISBM S,2016,23843,3609,24218
WCVI ISBM S,2017,40107,4920,13520
WCVI ISBM S,2018,33631,5258,14873
WCVI ISBM S,2019,44059,7138,18797
WCVI ISBM S,2020,30797,2472,13087
WCVI ISBM S,2021,42981,7424,37119
WCVI ISBM S,2022,42571,8198,28957
WCVI ISBM S,2023,52633,14463,24597
